extractor,dataset,overall_correct,overall_total,overall_accuracy,invoice_number_accuracy,invoice_date_accuracy,due_date_accuracy,issuer_name_accuracy,recipient_name_accuracy,total_amount_accuracy,result_file
extract_invoice_fields_v0,synthetic,52,114,0.4561,0.316,0.684,0.263,0.053,0.684,0.737,extract_invoice_fields_v0_synthetic.json
extract_invoice_fields_v0,ocr,24,42,0.5714,0.286,0.857,0.429,0.143,0.857,0.857,extract_invoice_fields_v0_ocr.json
extract_invoice_fields_v0,real,25,68,0.3676,0.385,0.769,0.2,0.077,0.273,0.385,extract_invoice_fields_v0_real.json
extract_invoice_fields_v1,synthetic,84,114,0.7368,0.632,0.737,0.789,0.789,0.737,0.737,extract_invoice_fields_v1_synthetic.json
extract_invoice_fields_v1,ocr,34,42,0.8095,0.857,0.857,0.857,0.571,0.857,0.857,extract_invoice_fields_v1_ocr.json
extract_invoice_fields_v1,real,26,68,0.3824,0.462,0.846,0.2,0.154,0.091,0.385,extract_invoice_fields_v1_real.json
extract_invoice_fields_v2,synthetic,91,114,0.7982,0.789,0.737,0.789,0.789,0.737,0.947,extract_invoice_fields_v2_synthetic.json
extract_invoice_fields_v2,ocr,35,42,0.8333,0.857,0.857,0.857,0.571,0.857,1.0,extract_invoice_fields_v2_ocr.json
extract_invoice_fields_v2,real,26,68,0.3824,0.462,0.846,0.2,0.154,0.091,0.385,extract_invoice_fields_v2_real.json
extract_invoice_fields_v3,synthetic,99,114,0.8684,0.789,0.947,0.947,0.842,0.737,0.947,extract_invoice_fields_v3_synthetic.json
extract_invoice_fields_v3,ocr,38,42,0.9048,0.857,1.0,1.0,0.857,0.857,0.857,extract_invoice_fields_v3_ocr.json
extract_invoice_fields_v3,real,34,68,0.5,0.538,0.846,0.2,0.385,0.455,0.385,extract_invoice_fields_v3_real.json
extract_invoice_fields_v4,synthetic,103,114,0.9035,1.0,0.947,0.947,0.842,0.737,0.947,extract_invoice_fields_v4_synthetic.json
extract_invoice_fields_v4,ocr,39,42,0.9286,1.0,1.0,1.0,0.857,0.857,0.857,extract_invoice_fields_v4_ocr.json
extract_invoice_fields_v4,real,39,68,0.5735,0.769,0.923,0.2,0.462,0.364,0.462,extract_invoice_fields_v4_real.json
extract_invoice_fields_v5,synthetic,102,114,0.8947,0.947,0.947,0.947,0.842,0.737,0.947,extract_invoice_fields_v5_synthetic.json
extract_invoice_fields_v5,ocr,38,42,0.9048,1.0,1.0,1.0,0.714,0.857,0.857,extract_invoice_fields_v5_ocr.json
extract_invoice_fields_v5,real,49,68,0.7206,0.846,0.923,0.2,0.462,0.818,0.769,extract_invoice_fields_v5_real.json
